id,name,category,release,cover_photo,description,requirements,download
,,,,,,,
,,,,,,,
3,Lara Croft GO The Mirror of Spirits ,5,"4 March, 2017",http://oceanofgames.com/wp-content/uploads/2017/03/Lara-Croft-GO-The-Mirror-of-Spirits-Free-Download.png,"<p><a href=\""http://oceanofgames.com/lara-croft-go-the-mirror-of-spirits-free-download/\"" target=\""_blank\"">Lara Croft GO The Mirror of Spirits</a> has been set in the long forgotten world where you as Lara Croft you are required to explore some ancient ruins and are required to discover loads of well-kept secrets. During your exploration you will face some deadly challenges while uncovering myth of the Queen of Venom. You are also required to make sure to update the game to the latest version which will unlock Mirror of Spirits. During your journey you will be facing some sinister enemies and need to overcome different obstacles. There are many deadly traps which are required to be escaped. All in all a gripping action game which you will surely enjoy. You can also download <a href=\""http://oceanofgames.com/lara-croft-and-the-temple-of-osiris-2014-free-download/\"" target=\""_blank\"">Lara Croft and The Temple of the Osiris 2014</a>.</p>","<ul><li class=\""western\""><strong>Tested on Windows 7 64-Bit</strong></li><li class=\""western\"">Operating System: Windows 7/8/8.1/10</li><li class=\""western\"">CPU: Intel Core 2 Quad or later.</li><li class=\""western\"">RAM: 1GB</li><li class=\""western\"">Setup Size: 1.4GB</li><li class=\""western\"">Hard Disk Space: 2GB</li></ul>","<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Lara_Croft_Go_The_Mirror_Of_Spirits.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""1.4GB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
4,Endless Legend Forgotten Love ,6,"2 March, 2017",http://oceanofgames.com/wp-content/uploads/2017/03/Endless-Legend-Forgotten-Love-Free-Download.jpg,"<p>In <a href=\""http://oceanofgames.com/endless-legend-forgotten-love-free-download/\"" target=\""_blank\"">Endless Legend Forgotten Love</a> has got two brand new Mezari heroes and now you can have 2 more heroes in an already impressive pool of heroes. War always have a devastating effect on the society as a whole as well as one a single person so you have to lookout the outcome of the wars. This game offers players a chance to develop a totally different fantasy civilization through seamless turn-based combat on Aurgia which is a dying a planet. There are eight beautifully crafted factions. You have to come up with some effective strategies in order to advance in the game. You can also download <a href=\""http://oceanofgames.com/endless-legend-shifters-free-download/\"" target=\""_blank\"">Endless Legends Shifters</a>.</p>","<ul><li class=\""western\""><strong>Tested on Windows 7 64-Bit</strong></li><li class=\""western\"">Operating System: Windows Vista/7/8/8.1/10</li><li class=\""western\"">CPU: Intel Core 2 Quad or later.</li><li class=\""western\"">RAM: 4GB</li><li class=\""western\"">Setup Size: 7.8GB</li><li class=\""western\"">Hard Disk Space: 9GB</li></ul>","<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Endless_Legend_Forgotten_Love.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""7.8GB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
,,,,,,,
6,Deus Ex Mankind Divided A Criminal Past ,1,"23 February, 2017",http://oceanofgames.com/wp-content/uploads/2017/03/Deus-Ex-Mankind-Divided-A-Criminal-Past-Free-Download.jpg,"<p>In <a href=\""http://oceanofgames.com/deus-ex-mankind-divided-a-criminal-past-free-download/\"" target=\""_blank\"">Deus Ex Mankind Divided A Criminal Past</a> you are going to experience first mission for TF29 of Adam Jensen which was set before the events of Mankind Divided. Jensen has been convicted as a criminal and is transferred to a hostile and high security prison. Now the mission of Adam Jensen is to retrieve sensitive information from an undercover agent. The story structure of Deus Ex Mankind Divided A Criminal Past is perfect and it will manage to fill the gaps between Human Revolution and Mankind Divided. The story is well paced and the visuals are also quite staggering. You can also download <a href=\""http://oceanofgames.com/road-redemption-free-download/\"" target=\""_blank\"">Road Redemption</a>.</p>","<ul><li class=\""western\""><strong>Tested on Windows 7 64-Bit</strong></li><li class=\""western\"">Operating System: Windows 7/8/8.1/10</li><li class=\""western\"">CPU: Intel Core i3 or later.</li><li class=\""western\"">RAM: 8GB</li><li class=\""western\"">Setup Size: 45.9 GB</li><li class=\""western\"">Hard Disk Space: 48 GB</li></ul>","<form action=\""http://oceanofgames.com/pay/Premium.php\"" method=\""post\"" target=\""_blank\""><input name=\""gname\"" type=\""hidden\"" value=\""Deus_Ex_Mankind_Divided_A_Criminal_Past.iso\""><div align=\""center\""><input alt=\""Download\"" height=\""100\"" src=\""http://oceanofgames.com/wp-content/uploads/2017/02/VIP-Premium.png\"" type=\""image\"" width=\""273\""></div></form>"",""<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Deus_Ex_Mankind_Divided_A_Criminal_Past.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""45.9GB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
,,,,,,,
8,River City Ransom Underground ,1,,http://oceanofgames.com/wp-content/uploads/2017/03/River-City-Ransom-Underground-Free-Download.jpg,"<p><a href=\""http://oceanofgames.com/river-city-ransom-underground-free-download/\"" target=\""_blank\"">River City Ransom Underground</a> By default two hero characters for you name as Alex and Ryan, these characters will help you a lot in beating the street fighters of River city. You can play this game up to four members of team and shape your team into a death challenging squad. There is a huge universe waiting for you to with its herders and thrilling atmosphere. In River City Ransom: Underground you can unlock 10 unique and deadly characters with your performance which will help a lot in your upcoming levels. There are 140 levels in the game to explore each level is different and exciting from another. It provides you shops through which you can easily upgrade your characters for better performance. It enables you to play both as a heroic or villain in passionate arena combat. <a href=\""http://oceanofgames.com/schacht-free-download/\"" target=\""_blank\"">Schacht</a> is another action game that you can download.</p>",<ul><li><strong>Tested on Windows 7 64-Bit</strong></li><li>Operating System: Windows XP/Vista/7/8/10</li><li>CPU: Intel Core 2 Duo or later</li><li>RAM: 3GB</li><li>Setup Size: 71.6MB</li><li>Hard Disk Space: 120MB</li></ul>,"<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""River_City_Ransom_Underground.rar\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""71.6MB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
9,Stories Untold ,5,,http://oceanofgames.com/wp-content/uploads/2017/03/Stories-Untold-Free-Download.jpg,"<p><a href=\""http://oceanofgames.com/stories-untold-free-download/\"" target=\""_blank\"">Stories Untold</a> is a game which is set in a very dreamy environment where you are sitting on a desk with a very low light of the lamp and the light of the monitor which lies in front of you. Actually you are playing the game in an old house. You will play the 10 text adventure based on the old parser. You have to explore the old house and experience the strange things happening around yourself. There are more episodes just like that which you love when you start exploring and upgrading your level. You can also download <a href=\""http://oceanofgames.com/bucket-detective-free-download/\"" target=\""_blank\"">Bucket Detective</a>.</p>",<ul><li>Tested on Windows 7 64-Bit.</li><li>Operating System: Windows 7/8/8.1/10</li><li>CPU: Intel Core Duo or faster</li><li>RAM: 2GB</li><li>Setup Size: 1.2GB</li><li>Hard Disk Space: 2GB</li></ul>,"<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Stories_Untold.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""1.2GB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
10,Constellation Distantia ,1,"28 February, 2017",http://oceanofgames.com/wp-content/uploads/2017/03/Constellation-Distantia-Free-Download.jpg,"<p><a href=\""http://oceanofgames.com/constellation-distantia-free-download/\"" target=\""_blank\"">Constellation Distantia</a> is a space adventure which bring flying, combat and mining along with a broad storyline. In this game you have been given the control of a gigantic nuclear mining ship which is capable of star travel and a fighter jet. This game has got 50 handcrafted missions which has got hundreds of illustrated cutscenes. The gameplay of Constellation Distantia is quite impressive one. This game has got some captivating events with a very impressive and polished core mechanics. Constellation Distantia has got imposing visuals and the sounds are also very impressive. You can also download <a href=\""http://oceanofgames.com/the-witcher-adventure-game-free-download/\"" target=\""_blank\"">The Witcher 5 Game</a>.</p>",<ul><li><strong>Tested on Windows 7 64-Bit</strong></li><li>Operating System: Windows 7/8/8.1/10</li><li>CPU: Intel Core i3 or later.</li><li>RAM: 4GB</li><li>Setup Size: 706.3MB</li><li>Hard Disk Space: 1.6GB</li></ul>,"<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Constellation_Distantia.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""706.3MB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
